norm_x_L,norm_y_L,norm_x_R,norm_y_R,target_x,target_y
0.46048055238783175,0.004065556496136035,0.48267751473481263,-0.10353669992637164,540,360
0.4558094582553474,-0.0018433296890493505,0.5003403031361153,-0.12315894635844783,540,360
0.4674982459761604,0.019826504429474895,0.49138112747968243,-0.13208665757518842,540,360
0.45719640457196403,0.02008483974981422,0.5061744732299142,-0.10119134927231539,540,360
0.4625084055482317,0.019470493096332652,0.48747105186338424,-0.11013370633430872,540,360
0.4616227738352827,0.022820214368409916,0.4947142414190521,-0.0958506377750259,540,360
0.45884580349349974,0.002096641389659889,0.5008975871099295,-0.07495256475236202,540,360
0.46682621281318665,-0.014922305548784277,0.48571004600089035,-0.11737779823148482,540,360
0.4550655201845957,0.11372757453350124,0.41350922708812715,0.03533992614487996,945,360
0.45422201032235165,0.13729971540222283,0.45092520129512836,0.006138476651897898,945,360
0.46027331605400734,0.10066814916532593,0.4685615887957755,0.031649608404124646,945,360
0.4598717036212746,0.11616478974187784,0.4333663600733018,0.010565909452294398,945,360
0.4626168714558245,0.14026207678590094,0.42957743437362333,0.07509393084737823,945,360
0.46230925823411756,0.09942971127534972,0.44774975065576433,0.02377130261916743,945,360
0.4651738056085615,0.11814337117044822,0.4437153459943244,0.02841053691147703,945,360
0.4655767313194766,0.1344629524173605,0.43977983741704163,-0.021052612646316107,945,360
0.46428009399649545,0.11227400901154046,0.44273325489170695,0.005951095686245596,945,360
0.4642784629884287,0.1350230708711646,0.4349071456606969,0.009779020714190777,945,360
0.48107188012481905,-0.021542062958082354,0.5212815692972763,-0.11280794531149232,135,630
0.4654959538028438,-0.08709631644706559,0.496997937782458,-0.2549909348153922,135,630
0.49577095394853427,-0.11915552360588405,0.5051373638488336,-0.22544606819516472,135,630
0.47571825658425737,-0.12105542494701944,0.5242877910729181,-0.16443858944380807,135,630
0.48924588885811304,-0.1124362204548584,0.5139370178436572,-0.18287318264375907,135,630
0.47312663280704886,-0.12356175316469728,0.5203141428206075,-0.19562642061057736,135,630
0.473087747722167,-0.1256883836861338,0.5224876774076194,-0.16266532418042215,135,630
0.4838048908046812,-0.12413966745282555,0.5183252857448803,-0.1722522427994334,135,630
0.4818181162399821,-0.12120035372371102,0.5161794363014106,-0.188109709650814,135,630
0.47808662325888074,-0.12113112151913617,0.516768436225617,-0.19063187722308922,135,630
0.44963111670547456,-0.04662252362898489,0.47924978116264155,-0.12117620105387933,540,630
0.48298514220823907,0.013095379170320512,0.4687715160695341,-0.17701863880020663,540,630
0.45414183473813774,-0.008520268563165562,0.5025985147546649,-0.09193025068126202,540,630
0.4788797137050197,0.0025921122553768817,0.4956681989007554,-0.08390441693062724,540,630
0.47300425992168443,-0.017707429650942734,0.4982509662694544,-0.06448252547932856,540,630
0.47861830257616195,0.0006624434509642048,0.5064841607708274,-0.1340832925286004,540,630
0.47032435690841823,-0.006213263689798269,0.4988015166815921,-0.10084029337331822,540,630
